Kategori,Pesan
spam,"['alami', 'tahan', 'identitas', 'usaha', 'sulit', 'usaha', 'pasar', 'penuh', 'suqestions', 'informasi', 'logo', 'tarik', 'statlonery', 'gaya', 'situs', 'web', 'tugas', 'mudah', 'janji', 'havinq', 'mes', 'iogo', 'usaha', 'otomatis', 'dunia', 'ieader', 'isguite', 'ciear', 'produk', 'organisasi', 'bisnis', 'efektif', 'tuju', 'praktis', 'pasar', 'janji', 'upaya', 'pasar', 'efektif', 'daftar', 'manfaat', 'kreativitas', 'logo', 'asli', 'tangan', 'khusus', 'laku', 'cermin', 'citra', 'usaha', 'khas', 'nyaman', 'logo', 'alat', 'tulis', 'sedia', 'format', 'mudah', 'sistem', 'manajemen', 'konten', 'letsyou', 'ubah', 'konten', 'situs', 'web', 'struktur', 'lihat', 'draft', 'logo', 'kerja', 'jangkau', 'istirahat', 'pasar', 'celah', 'anggar', 'puas', 'jamin', 'ubah', 'batas', 'biaya', 'surethat', 'suka', 'hasil', 'kolaborasi', 'lihat', 'portofolio', 'tarik']"
spam,"['fanny', 'gunslinger', 'dagang', 'saham', 'merrill', 'muzo', 'colza', 'capai', 'esmark', 'ramble', 'pepatah', 'segovia', 'kelompok', 'coba', 'kansas', 'tanzania', 'ya', 'bunglon', 'pakai', 'libretto', 'kencang', 'kencang', 'pustaka', 'kencang', 'deonat', 'coba', 'hall', 'mcdougall', 'ya', 'hepburn', 'einsteinian', 'earmark', 'anak', 'pohon', 'babi', 'duane', 'palfrey', 'sederhana', 'fleksibel', 'huzzah', 'pepperoni', 'tidur']"
spam,"['rumah', 'rumah', 'mudah', 'milik', 'rumah', 'tuju', 'pinjam', 'rumah', 'a', 'tingkat', 'tawar', 'luas', 'syarat', 'kredit', 'faktor', 'manfaat', 'batas', 'unjung', 'situs', 'web', 'lengkap', 'formulir', 'tuju', 'pos', 'menit', 'lihat', 'dengar', 'dorcas', 'pittman']"
spam,"['khusus', 'cetak', 'warna', 'informasi', 'klik', 'klik', 'versi', 'cetak', 'formulir', 'pesan', 'format', 'pdf', 'telepon', 'faks', 'e', 'mail', 'ramsey', 'goldengraphix', 'com', 'informasi', 'klik', 'klik', 'versi', 'cetak', 'formulir', 'pesan', 'format', 'pdf', 'golden', 'graphix', 'cetak', 'azusa', 'canyon', 'rd', 'irwindale', 'ca', 'pesan', 'e', 'mail', 'iklan', 'aja']"
spam,"['uang', 'cd', 'perangkat', 'lunak', 'kompatibilitas', 'perangkat', 'lunak', 'ain', 'bagus', 'tua', 'tradgedies', 'selesai', 'mati', 'komedi', 'nikah']"
spam,"['nnews', 'hebat', 'halo', 'selamat', 'medzonline', 'sh', 'groundsel', 'op', 'senang', 'kenal', 'salah', 'toko', 'felicitation', 'felicitation', 'online', 'helter', 'v', 'shakedown', 'r', 'a', 'cosmopolitan', 'l', 'l', 'blister', 'l', 'l', 'bestow', 'ag', 'ac', 'tosher', 'l', 'coadjutor', 'va', 'confidant', 'um', 'andantherother', 'sav', 'selesai', 'total', 'catat', 'libur', 'ntiaiity', 'hlpplng', 'sopan', 'dunia', 'ov', 'allusion', 'er', 'miilion', 'langgan', 'negara', 'deklarasi', 'senang']"
spam,"['main', 'panas', 'investments', 'security', 'investments', 'serang', 'teror', 'amerika', 'serikat', 'september', 'ol', 'ubah', 'lanskap', 'aman', 'fisik', 'ogica', 'aman', 'segmen', 'industri', 'khusus', 'y', 'perban', 'nasional', 'sektor', 'sumber', 'daya', 'perintah', 'giga', 'a', 'who', 'anak', 'usaha', 'milik', 'forrester', 'research', 'woridwide', 'produk', 'layan', 'aman', 'informasi', 'atur', 'lampau', 'b', 'homeiand', 'security', 'investments', 'berita', 'dedikasi', 'informasi', 'baca', 'kait', 'peluang', 'investasi', 'sektor', 'untung', 'peristiwa', 'kait', 'aman', 'tanah', 'air', 'cepat', 'kilat', 'laku', 'investor', 'posisi', 'rupa', 'manfaat', 'tren', 'manfaat', 'peristiwa', 'investasi', 'aman', 'negeri', 'heip', 'baca', 'laku', 'gembira', 'saji', 'vinoble', 'inc', 'stok', 'harap', 'laku', 'istilah', 'ons', 'simbol', 'vnbl', 'ob', 'harga', 'o', 'harga', 'target', 'jangka', 'pendek', 'o', 'harga', 'target', 'percaya', 'vnbl', 'ob', 'investasi', 'fokus', 'vnbl', 'technoiogy', 'rfid', 'radio', 'frekuensi', 'identifikasi', 'teknologi', 'sensor', 'kirim', 'informasi', 'orang', 'objek', 'wireiessly', 'vnbl', 'pelopor', 'industri', 'lokasi', 'pribadi', 'rfid', 'technoiogy', 'vnbl', 'kembang', 'bentuk', 'teknologi', 'rfid', 'usaha', 'perintah', 'nirkabel', 'lacak', 'aset', 'sumber', 'daya', 'technoiogy', 'milik', 'potensi', 'lindung', 'transportasi', 'materia', 'risiko', 'fa', 'tangan', 'salah', 'vnbl', 'kerja', 'integrasi', 'sistem', 'cipta', 'ruang', 'aman', 'ocaies', 'anggap', 'lokasi', 'manfaat', 'sistem', 'bandara', 'labuh', 'laut', 'tambang', 'fasilitas', 'nukiear', 'saham', 'berita', 'dorong', 'harga', 'jangka', 'pendek', 'berita', 'segar', 'vnbl', 'beli', 'panas', 'berita', 'vnbl', 'malibu', 'calif', 'kawat', 'bisnis', 'juni', 'oo', 'vino', 'inc', 'otcbb', 'vnbl', 'news', 'buah', 'usaha', 'induk', 'identifikasi', 'ong', 'peluang', 'tumbuh', 'istilah', 'bidang', 'aman', 'tanah', 'air', 'sistem', 'informasi', 'aman', 'layan', 'aman', 'pian', 'tawar', 'produk', 'layan', 'bantu', 'otomatisasi', 'identifikasi', 'kendali', 'alat', 'aset', 'proses', 'kait', 'oi', 'industri', 'gas', 'petrokimia', 'smail', 'wireiessly', 'networked', 'rfid', 'sensor', 'pantau', 'mesin', 'alat', 'deteksi', 'serius', 'ayun', 'fitur', 'selamat', 'deiiver', 'oi', 'welis', 'oi', 'perangkap', 'ayers', 'of', 'rock', 'aiong', 'gas', 'air', 'deteksi', 'spesifik', 'iquids', 'bantu', 'alat', 'operasi', 'momen', 'kondisi', 'buruk', 'filliing', 'sumur', 'air', 'aplikasi', 'technoiogy', 'bas', 'rf', 'rfid', 'transit', 'aman', 'materiais', 'pawang', 'resmi', 'batas', 'masuk', 'personne', 'spesifik', 'ocations', 'selamat', 'personel', 'darurat', 'fasilitas', 'tag', 'rfid', 'langgan', 'lacak', 'evaluasi', 'selamat', 'bahaya', 'empioyee', 'nya', 'teknologi', 'aplikasi', 'butuh', 'produk', 'perangkat', 'keras', 'operasi', 'harsh', 'potentia', 'y', 'kondisi', 'bahaya', 'selamat', 'harga', 'sumber', 'daya', 'aset', 'rupa', 'vita', 'langgan', 'rfid', 'bantu', 'rantai', 'pasok', 'langgan', 'lacak', 'oi', 'gas', 'chemica', 'produk', 'ekstraksi', 'murni', 'saie', 'reta', 'evel', 'sudut', 'pandang', 'vino', 'nyata', 'aplikasi', 'vaiuable', 'industri', 'tambang', 'ukur', 'lindung', 'negara', 'natura', 'sumber', 'daya', 'komoditas', 'hadap', 'ancam', 'lestari', 'fueis', 'sumber', 'daya', 'selamat', 's', 'industri', 'ekonomi', 'usaha', 'percaya', 'tawar', 'layan', 'technoiogy', 'tawar', 'industri', 'minyak', 'gas', 'petrokimia', 'wil', 'posisi', 'vinoble', 'industri', 'kembang', 'pesat', 'ambil', 'untung', 'akses', 'modal', 'tingkat', 'gioba', 'habis', 'usaha', 'butuh', 'tumbuh', 'tuju', 'usaha', 'aiso', 'sedia', 'layan', 'butuh', 'biaya', 'kelola', 'sma', 'est', 'bisnis', 'laku', 'selamat', 'personel', 'aset', 'ancam', 'berita', 'potensi', 'tumbuh', 'usaha', 'industri', 'panas', 'vnbl', 'ob', 'tonjol', 'pelopor', 'inovatif', 'lihat', 'stok', 'informasi', 'emai', 'isi', 'nyata', 'maju', 'arti', 'pasal', 'a', 'securities', 'act', 'of', 'b', 'securities', 'exchange', 'act', 'nyata', 'ekspresi', 'libat', 'diskusi', 'hubung', 'prediksi', 'harap', 'percaya', 'pian', 'proyeksi', 'tuju', 'tuju', 'asumsi', 'peristiwa', 'kerja', 'nyata', 'historica', 'fakta', 'maju', 'ooking', 'nyata', 'maju', 'nyata', 'ooking', 'dasar', 'ekspektasi', 'proyeksi', 'nyata', 'invoive', 'risiko', 'ketidakpastian', 'aktua', 'hasil', 'peristiwa', 'beda', 'materi', 'y', 'antisipasi', 'nyata', 'maju', 'tindak', 'identifikasi', 'proyek', 'foresee', 'harap', 'wi', 'antisipasi', 'beiieves', 'paham', 'nyata', 'tindak', 'couid', 'stok', 'mikro', 'cap', 'usaha', 'milik', 'faktor', 'risiko', 'perhati', 'faktor', 'faktor', 'hasil', 'riwayat', 'operasi', 'batas', 'usaha', 'maju', 'uang', 'tunai', 'dirion', 'pegang', 'saham', 'aman', 'vendor', 'kait', 'stockhoider', 'mayoritas', 'pasok', 'sembilan', 'puluh', 'tujuh', 'persen', 'materia', 'mentah', 'usaha', 'reiiance', 'on', 'on', 'langgan', 'puluh', 'persen', 'bisnis', 'transaksi', 'partai', 'kait', 'butuh', 'tingkat', 'modal', 'faktor', 'faktor', 'cepat', 'buang', 'fiiings', 'sec', 'usaha', 'dorong', 'baca', 'aju', 'investasi', 'lapor', 'roket', 'stock', 'nyata', 'informasi', 'kandung', 'pesan', 'nyata', 'ail', 'materia', 'fakta', 'hilang', 'fakta', 'material', 'nyata', 'sesat', 'ail', 'informasi', 'sedia', 'emai', 'kena', 'investasi', 'saham', 'sekuritas', 'paham', 'informasi', 'nasihat', 'investasi', 'lapor', 'roket', 'saham', 'nasihat', 'baca', 'langgan', 'saran', 'profesional', 'daftar', 'wakil', 'sekuritas', 'putus', 'dagang', 'saham', 'tampil', 'email', 'materi', 'lapor', 'shal', 'tafsir', 'nasihat', 'investasi', 'aja', 'usaha', 'usaha', 'ambang', 'bangkrut', 'hilang', 'uang', 'investasi', 'saham', 'terbit', 'lapor', 'saham', 'rocket', 'nasihat', 'investasi', 'daftar', 'langgan', 'lihat', 'informasi', 'ega', 'nasihat', 'pajak', 'akuntansi', 'investasi', 'referensi', 'kerja', 'usaha', 'khusus', 'referensi', 'dasar', 'kerja', 'favorit', 'usaha', 'usaha', 'butuh', 'capai', 'resuit', 'eksampi', 'jamin', 'aiways', 'kerja', 'hasil', 'upaya', 'diiigensi', 'masuk', 'tinjau', 'aju', 'usaha', 'selesai', 'investasi', 'wasiat', 'undang', 'undang', 'sekuritas', 'b', 'lapor', 'roket', 'saham', 'reda', 'terima', 'tweive', 'ribu', 'doilar', 'gem', 'inc', 'orang', 'perwira', 'direktur', 'afiliasi', 'saham', 'sirkidasi', 'lapor', 'permata', 'inc', 'milik', 'posisi', 'stok', 'pemberitahuan', 'waspada', 'konfigurasi', 'lekat', 'resuit', 'bunga', 'kompensasi', 'fakta', 'iklan', 'bayar', 'konflik', 'al', 'factua', 'informasi', 'lapor', 'kumpul', 'sumber', 'sumber', 'pub', 'dengus', 'batas', 'situs', 'web', 'usaha', 'fiiings', 'sec', 'rilis', 'pers', 'usaha', 'lapor', 'roket', 'stock', 'beiieves', 'informasi', 'reliabie', 'jamin', 'akurat', 'suka', 'materia', 'email', 'rupa', 'terima']"
spam,"['simpan', 'uang', 'beli', 'barang', 'coba', 'ciall', 'bayang', 'pria', 'sejati', 'tidur', 'errrectlon', 'hebat', 'sedia', 'cialis', 'milik', 'unggul', 'banding', 'viagra', 'efek', 'iasts', 'jam', 'menit', 'campur', 'aicohol', 'kirim', 'negara']"
spam,"['kirim', 'bisnis', 'bas', 'rumah', 'orang', 'tata', 'subjek', 'pesan', 'bisnis', 'bas', 'rumah', 'orangtua', 'kirim', 'sun', 'jan', 'capai', 'terima', 'tfi', 'kpn', 'com', 'on', 'mon', 'feb', 'nama', 'terima', 'nali', 'mts', 'id', 'pesan', 'asli', 'c', 'us', 'a', 'p', 'ptt', 'telekomunikasi', 'l', 'mtpi', 'fjt', 'd', 'q', 'msexch', 'ims', 'kpn', 'telekomunikasi', 'i', 'mtpi', 'co', 'a', 'terima']"
spam,"['simpan', 'uang', 'beli', 'barang', 'coba', 'ciall', 'bayang', 'pria', 'sejati', 'tidur', 'errrectlon', 'hebat', 'sedia', 'cialis', 'milik', 'unggul', 'banding', 'viagra', 'efek', 'langsung', 'jam', 'menit', 'campur', 'aicohoi', 'kirim', 'negara']"
